trip_id,driver_id,timestamp,elapsed_seconds,event_label,flag_type,severity,motion_score,raw_value,threshold,confidence,signal_type,gps_lat,gps_lon,speed_kmh,explanation,context,window_id,top_codewords
TRIP_DRV001_01,DRV001,2024-02-06 06:30:03,3.0,ROAD_BUMP,road_bump,low,0.3,9.652,1.5,1.0,ACCELEROMETER,19.066119,72.866118,41.6,"ROAD_BUMP detected (9.65g, threshold: 1.5g)",Motion: road_bump | Speed: 42km/h,W0001,
TRIP_DRV001_01,DRV001,2024-02-06 06:30:34,34.5,ROAD_BUMP,road_bump,low,0.3,9.873,1.5,1.0,ACCELEROMETER,19.062359,72.84915,30.6,"ROAD_BUMP detected (9.87g, threshold: 1.5g)",Motion: road_bump | Speed: 31km/h,W0002,
TRIP_DRV001_01,DRV001,2024-02-06 06:31:06,66.0,ROAD_BUMP,road_bump,low,0.3,9.781,1.5,1.0,ACCELEROMETER,19.055054,72.847001,31.8,"ROAD_BUMP detected (9.78g, threshold: 1.5g)",Motion: road_bump | Speed: 32km/h,W0003,
TRIP_DRV001_01,DRV001,2024-02-06 06:31:37,97.5,ROAD_BUMP,road_bump,low,0.3,9.799,1.5,1.0,ACCELEROMETER,19.049826,72.865989,46.5,"ROAD_BUMP detected (9.80g, threshold: 1.5g)",Motion: road_bump | Speed: 46km/h,W0004,
TRIP_DRV001_01,DRV001,2024-02-06 06:32:12,132.0,ROAD_BUMP,road_bump,low,0.3,9.801,1.5,1.0,ACCELEROMETER,19.047734,72.859172,30.7,"ROAD_BUMP detected (9.80g, threshold: 1.5g)",Motion: road_bump | Speed: 31km/h,W0005,
TRIP_DRV001_01,DRV001,2024-02-06 06:32:43,163.5,ROAD_BUMP,road_bump,low,0.3,9.917,1.5,1.0,ACCELEROMETER,19.062485,72.848511,29.2,"ROAD_BUMP detected (9.92g, threshold: 1.5g)",Motion: road_bump | Speed: 29km/h,W0006,
TRIP_DRV001_01,DRV001,2024-02-06 06:33:16,196.5,ROAD_BUMP,road_bump,low,0.3,9.928,1.5,1.0,ACCELEROMETER,19.052012,72.858449,52.2,"ROAD_BUMP detected (9.93g, threshold: 1.5g)",Motion: road_bump | Speed: 52km/h,W0007,
TRIP_DRV001_01,DRV001,2024-02-06 06:33:48,228.0,ROAD_BUMP,road_bump,low,0.3,9.894,1.5,1.0,ACCELEROMETER,19.05962,72.854455,43.7,"ROAD_BUMP detected (9.89g, threshold: 1.5g)",Motion: road_bump | Speed: 44km/h,W0008,
TRIP_DRV001_01,DRV001,2024-02-06 06:34:19,259.5,ROAD_BUMP,road_bump,low,0.3,9.841,1.5,1.0,ACCELEROMETER,19.053851,72.843787,16.3,"ROAD_BUMP detected (9.84g, threshold: 1.5g)",Motion: road_bump | Speed: 16km/h,W0009,
TRIP_DRV001_01,DRV001,2024-02-06 06:34:55,295.5,ROAD_BUMP,road_bump,low,0.3,9.676,1.5,1.0,ACCELEROMETER,19.062551,72.853401,54.7,"ROAD_BUMP detected (9.68g, threshold: 1.5g)",Motion: road_bump | Speed: 55km/h,W0010,
TRIP_DRV001_01,DRV001,2024-02-06 06:35:27,327.0,ROAD_BUMP,road_bump,low,0.3,9.694,1.5,1.0,ACCELEROMETER,19.067815,72.856872,53.2,"ROAD_BUMP detected (9.69g, threshold: 1.5g)",Motion: road_bump | Speed: 53km/h,W0011,
