trip_id,driver_id,timestamp,elapsed_seconds,signal_type,event_label,flag_type,severity,motion_event,audio_event,motion_score,stress_score,gps_lat,gps_lon,speed_kmh,explanation
TRIP_DRV002_01,DRV002,2024-02-06 17:00:00,0.0,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.910733,77.602002,32.9,"ROAD_BUMP detected (9.70g, threshold: 1.5g)"
TRIP_DRV002_01,DRV002,2024-02-06 17:00:31,31.5,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.909779,77.602179,41.9,"ROAD_BUMP detected (9.83g, threshold: 1.5g)"
TRIP_DRV002_01,DRV002,2024-02-06 17:01:04,64.5,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.912856,77.614566,49.1,"ROAD_BUMP detected (9.83g, threshold: 1.5g)"
TRIP_DRV002_01,DRV002,2024-02-06 17:01:36,96.0,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.90791,77.617455,43.4,"ROAD_BUMP detected (9.99g, threshold: 1.5g)"
TRIP_DRV002_01,DRV002,2024-02-06 17:02:07,127.5,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.910388,77.603912,43.3,"ROAD_BUMP detected (9.75g, threshold: 1.5g)"
TRIP_DRV002_01,DRV002,2024-02-06 17:02:42,162.0,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.916422,77.603451,21.3,"ROAD_BUMP detected (9.71g, threshold: 1.5g)"
TRIP_DRV002_01,DRV002,2024-02-06 17:03:13,193.5,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.914181,77.599221,53.5,"ROAD_BUMP detected (9.85g, threshold: 1.5g)"
TRIP_DRV002_01,DRV002,2024-02-06 17:03:45,225.0,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.920026,77.610942,39.3,"ROAD_BUMP detected (9.82g, threshold: 1.5g)"
TRIP_DRV002_01,DRV002,2024-02-06 17:04:16,256.5,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.932707,77.593172,15.8,"ROAD_BUMP detected (9.79g, threshold: 1.5g)"
TRIP_DRV002_01,DRV002,2024-02-06 17:04:48,288.0,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.930341,77.598144,28.2,"ROAD_BUMP detected (9.88g, threshold: 1.5g)"
TRIP_DRV002_01,DRV002,2024-02-06 17:05:19,319.5,MOTION,ROAD_BUMP,road_bump,low,ROAD_BUMP,,0.3,0.0,12.933301,77.601261,22.3,"ROAD_BUMP detected (9.72g, threshold: 1.5g)"
