timestamp,elapsed_seconds,trip_id,driver_id,layer1_active,layer2_active,layer3_active,layer4_active,zcr,spectral_centroid,spectral_flux,f0_std,speech_rate,db_deviation,window_label,layers_fired,conflict_detected,stress_event,acute_safety_event,stress_score,motion_in_window,consecutive_positives,flip_back_triggered
2024-02-06 06:30:00,0,TRIP_DRV003_01,DRV003,False,False,False,False,0.3764,1433.1,0.01918,27.45,2.84,-2.47,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:02,2,TRIP_DRV003_01,DRV003,False,False,False,False,0.2136,1435.3,0.01416,12.99,3.1,-3.85,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:04,4,TRIP_DRV003_01,DRV003,False,False,False,False,0.1789,1607.2,0.01438,9.0,4.68,-3.92,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:06,6,TRIP_DRV003_01,DRV003,False,False,False,False,0.356,1069.5,0.0151,16.69,4.68,6.82,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:08,8,TRIP_DRV003_01,DRV003,False,False,False,False,0.3038,1303.6,0.01992,14.03,3.96,6.56,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:10,10,TRIP_DRV003_01,DRV003,False,False,False,False,0.3635,1094.7,0.00638,21.43,3.2,9.85,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:12,12,TRIP_DRV003_01,DRV003,False,False,False,False,0.2656,1286.6,0.01878,21.34,2.63,6.9,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:14,14,TRIP_DRV003_01,DRV003,False,False,False,False,0.24,854.5,0.01759,26.78,4.11,-2.88,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:16,16,TRIP_DRV003_01,DRV003,False,False,False,False,0.3796,882.3,0.01005,23.58,5.36,4.34,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:18,18,TRIP_DRV003_01,DRV003,False,False,False,False,0.2144,1627.2,0.0135,8.56,2.96,-4.59,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:20,20,TRIP_DRV003_01,DRV003,False,False,False,False,0.3819,1071.0,0.00759,14.63,4.7,8.39,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:22,22,TRIP_DRV003_01,DRV003,False,False,False,False,0.4439,870.1,0.02473,28.16,4.28,9.63,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:24,24,TRIP_DRV003_01,DRV003,False,False,False,False,0.3105,949.1,0.01825,29.99,3.62,3.14,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:26,26,TRIP_DRV003_01,DRV003,False,False,False,False,0.1855,1522.7,0.01002,23.96,4.71,9.4,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:28,28,TRIP_DRV003_01,DRV003,False,False,False,False,0.2901,1475.7,0.01612,17.02,3.48,1.59,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:30,30,TRIP_DRV003_01,DRV003,False,False,False,False,0.4067,861.7,0.02488,20.33,3.37,8.95,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:32,32,TRIP_DRV003_01,DRV003,False,False,False,False,0.3083,1778.3,0.00559,22.81,5.39,9.66,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:34,34,TRIP_DRV003_01,DRV003,False,False,False,False,0.2026,1226.9,0.0146,12.22,4.78,1.29,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:36,36,TRIP_DRV003_01,DRV003,False,False,False,False,0.4417,956.4,0.01173,24.1,2.74,-0.79,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:38,38,TRIP_DRV003_01,DRV003,False,False,False,False,0.4424,1757.5,0.01522,34.21,3.61,7.31,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:40,40,TRIP_DRV003_01,DRV003,False,False,False,False,0.3853,891.3,0.01064,11.08,2.55,-1.31,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:42,42,TRIP_DRV003_01,DRV003,False,False,False,False,0.3595,936.9,0.01242,22.27,3.62,-0.52,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:44,44,TRIP_DRV003_01,DRV003,False,False,False,False,0.3649,1568.8,0.01578,34.47,4.0,-3.37,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:46,46,TRIP_DRV003_01,DRV003,False,False,False,False,0.2069,906.9,0.01353,14.0,3.23,1.35,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:48,48,TRIP_DRV003_01,DRV003,False,False,False,False,0.1948,1195.8,0.00916,13.86,3.99,-3.53,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:50,50,TRIP_DRV003_01,DRV003,False,False,False,False,0.3437,1235.4,0.01552,17.14,5.37,8.92,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:30:52,52,TRIP_DRV003_01,DRV003,False,False,False,False,0.2075,1229.2,0.01366,17.26,4.65,5.06,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:54,54,TRIP_DRV003_01,DRV003,False,False,False,False,0.2888,1033.8,0.01239,11.61,2.73,5.45,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:56,56,TRIP_DRV003_01,DRV003,False,False,False,False,0.3438,1264.4,0.00724,17.29,3.14,-1.2,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:30:58,58,TRIP_DRV003_01,DRV003,False,False,False,False,0.353,1160.2,0.00693,9.42,4.53,2.41,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:31:00,60,TRIP_DRV003_01,DRV003,False,False,False,False,0.4498,1584.6,0.01487,31.99,4.07,6.38,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:31:02,62,TRIP_DRV003_01,DRV003,False,False,False,False,0.165,1596.2,0.00789,9.86,4.74,0.51,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:31:04,64,TRIP_DRV003_01,DRV003,False,False,False,False,0.3421,1046.3,0.01313,9.55,3.07,6.0,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:31:06,66,TRIP_DRV003_01,DRV003,False,False,False,False,0.2674,1781.2,0.01665,25.23,3.98,9.15,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:31:08,68,TRIP_DRV003_01,DRV003,False,False,False,False,0.3493,970.5,0.02323,24.99,3.32,7.97,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:31:10,70,TRIP_DRV003_01,DRV003,False,False,False,False,0.242,1109.2,0.00924,12.76,3.79,1.26,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:31:12,72,TRIP_DRV003_01,DRV003,False,False,False,False,0.2657,830.2,0.01683,30.42,3.25,2.16,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:31:14,74,TRIP_DRV003_01,DRV003,False,False,False,False,0.274,1046.5,0.01327,31.33,4.47,-4.32,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:31:16,76,TRIP_DRV003_01,DRV003,False,False,False,False,0.1899,1088.5,0.00575,32.97,5.36,-3.4,NORMAL,None,False,False,False,0.0,True,0,False
2024-02-06 06:31:18,78,TRIP_DRV003_01,DRV003,False,False,False,False,0.2958,1151.0,0.0171,24.5,4.52,-3.58,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:31:20,80,TRIP_DRV003_01,DRV003,False,False,False,False,0.2539,1700.7,0.01177,27.56,3.04,-0.16,NORMAL,None,False,False,False,0.0,False,0,False
2024-02-06 06:31:22,82,TRIP_DRV003_01,DRV003,False,False,False,False,0.317,1079.2,0.005,23.2,5.32,9.15,NORMAL,None,False,False,False,0.0,True,0,False
